============================= test session starts =============================
platform win32 -- Python 3.12.4, pytest-8.4.2, pluggy-1.6.0 -- E:\code for project\bimnet-zcode\.venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: E:\code for project\bimnet-zcode
configfile: pyproject.toml
plugins: anyio-4.14.2
collecting ... collected 557 items

tests/ifc_repair/test_door_geometry_regression.py::test_mixed_regression_rejects_old_identity_placement_and_wall_storey PASSED [  0%]
tests/ifc_repair/test_door_geometry_regression.py::test_supplied_vvo_fault_reproduces_exact_800_by_160_mm_world_offset PASSED [  0%]
tests/ifc_repair/test_door_geometry_regression.py::test_frozen_supplied_candidate_is_not_publishable_under_strict_l1 PASSED [  0%]
tests/ifc_repair/test_door_geometry_regression.py::test_five_door_regression_rejects_old_geometrically_misaligned_repair PASSED [  0%]
tests/ifc_repair/test_door_geometry_regression.py::test_corrected_vvo_door_proofs_pass_strict_postconditions PASSED [  0%]
tests/ifc_repair/test_door_geometry_regression.py::test_vvo_fill_applicator_aligns_reused_type_and_uses_opening_storey PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_vvo_retained_opening_index_uses_opening_level_not_wall_base PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_opening_context_storey_fails_closed_without_wall_containment PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_opening_context_storey_fails_closed_on_conflicting_wall_containment PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_door_opening_measurement_is_invariant_to_rotated_host_wall PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_identity_compensation_and_180_degree_corner_conventions_are_equivalent PASSED [  1%]
tests/ifc_repair/test_door_geometry_regression.py::test_door_placement_recentres_when_wall_opening_depth_changes PASSED [  2%]
tests/ifc_repair/test_door_geometry_regression.py::test_supported_left_and_right_handed_types_both_pass_geometry_gate PASSED [  2%]
tests/ifc_repair/test_door_geometry_regression.py::test_surviving_mapped_door_styles_pass_selection_and_measurement[source0-2AJ6T3vZDDZRJL7l0pGl86-2AJ6T3vZDDZRJL7kCpGl86] PASSED [  2%]
tests/ifc_repair/test_door_geometry_regression.py::test_surviving_mapped_door_styles_pass_selection_and_measurement[source1-08DlcJHzb8WfJZDS4ZFHLL-08DlcJHzb8WfJZDT8ZFHLL] PASSED [  2%]
tests/ifc_repair/test_door_geometry_regression.py::test_mapped_door_style_still_rejects_a_materially_displaced_occurrence PASSED [  2%]
tests/ifc_repair/test_door_geometry_regression.py::test_public_production_boundary_has_no_original_or_mutation_inputs PASSED [  3%]
tests/ifc_repair/test_door_geometry_regression.py::test_authority_triplet_public_process_has_no_private_input_channel PASSED [  3%]
tests/ifc_repair/test_door_geometry_regression.py::test_authority_triplet_public_request_uses_only_geometry_selectors PASSED [  3%]
tests/ifc_repair/test_door_geometry_regression.py::test_door_geometry_measurement_failure_blocks_postcondition PASSED [  3%]
tests/ifc_repair/test_door_property_authorization.py::test_door_authorization_covers_all_door_semantic_roles PASSED [  3%]
tests/ifc_repair/test_door_property_authorization.py::test_door_authorization_covers_opening_scoped_quantities PASSED [  3%]
tests/ifc_repair/test_door_property_authorization.py::test_door_authorization_covers_indexed_multi_pset_variants PASSED [  4%]
tests/ifc_repair/test_door_property_authorization.py::test_door_relation_authorizations_declare_door_endpoints PASSED [  4%]
tests/ifc_repair/test_door_property_authorization.py::test_door_role_set_mirrors_structural_pattern PASSED [  4%]
tests/ifc_repair/test_door_property_authorization.py::test_fabricated_role_stays_unauthorized PASSED [  4%]
tests/ifc_repair/test_door_property_authorization.py::test_fill_door_authorization_also_carries_semantic_roles PASSED [  4%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_reordered_scope_target_ids_bind PASSED [  5%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_reordered_evidence_refs_bind PASSED [  5%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_reordered_operation_evidence_refs_bind PASSED [  5%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_reordered_forbidden_ids_bind PASSED [  5%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_identifier_drift_still_fails_closed[scope-extra-target-<lambda>-DRAFT_AUTHORITY_SCOPE_MISMATCH] PASSED [  5%]
tests/ifc_repair/test_draft_authority_set_semantics.py::test_identifier_drift_still_fails_closed[scope-missing-target-<lambda>-DRAFT_AUTHORITY_SCOPE_MISMATCH] PASSED [  5%]
